# Lorenzo Manunza 14th April 2025

197128 atoms
1 atom types

-739.08340 739.08340 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   460 1  458.084137 -83.78 0.00
   461 1  455.624625 -86.62 0.00
   462 1  454.394869 -85.91 0.00
   463 1  454.394869 -84.49 0.00
   464 1  455.624625 -83.78 0.00
   465 1  453.165113 -86.62 0.00
   466 1  451.935357 -85.91 0.00
   467 1  451.935357 -84.49 0.00
   468 1  453.165113 -83.78 0.00
   469 1  450.705601 -86.62 0.00
   470 1  449.475845 -85.91 0.00
   471 1  449.475845 -84.49 0.00
   472 1  450.705601 -83.78 0.00
   473 1  448.246089 -86.62 0.00
   474 1  447.016333 -85.91 0.00
   475 1  447.016333 -84.49 0.00
   476 1  448.246089 -83.78 0.00
   477 1  445.786577 -86.62 0.00
   478 1  444.556821 -85.91 0.00
   479 1  444.556821 -84.49 0.00
   480 1  445.786577 -83.78 0.00
   481 1  443.327064 -86.62 0.00
   482 1  442.097308 -85.91 0.00
   483 1  442.097308 -84.49 0.00
   484 1  443.327064 -83.78 0.00
   485 1  440.867552 -86.62 0.00
   486 1  439.637796 -85.91 0.00
   487 1  439.637796 -84.49 0.00
   488 1  440.867552 -83.78 0.00
   489 1  438.408040 -86.62 0.00
   490 1  437.178284 -85.91 0.00
   491 1  437.178284 -84.49 0.00
   492 1  438.408040 -83.78 0.00
   493 1  435.948528 -86.62 0.00
   494 1  434.718772 -85.91 0.00
   495 1  434.718772 -84.49 0.00
   496 1  435.948528 -83.78 0.00
   497 1  433.489016 -86.62 0.00
   498 1  432.259260 -85.91 0.00
   499 1  432.259260 -84.49 0.00
   500 1  433.489016 -83.78 0.00
   501 1  431.029504 -86.62 0.00
   502 1  429.799748 -85.91 0.00
   503 1  429.799748 -84.49 0.00
   504 1  431.029504 -83.78 0.00
   505 1  428.569992 -86.62 0.00
   506 1  427.340235 -85.91 0.00
   507 1  427.340235 -84.49 0.00
   508 1  428.569992 -83.78 0.00
   509 1  426.110479 -86.62 0.00
   510 1  424.880723 -85.91 0.00
   511 1  424.880723 -84.49 0.00
   512 1  426.110479 -83.78 0.00
   513 1  423.650967 -86.62 0.00
   514 1  422.421211 -85.91 0.00
   515 1  422.421211 -84.49 0.00
   516 1  423.650967 -83.78 0.00
   517 1  421.191455 -86.62 0.00
   518 1  419.961699 -85.91 0.00
   519 1  419.961699 -84.49 0.00
   520 1  421.191455 -83.78 0.00
   521 1  418.731943 -86.62 0.00
   522 1  417.502187 -85.91 0.00
   523 1  417.502187 -84.49 0.00
   524 1  418.731943 -83.78 0.00
   525 1  416.272431 -86.62 0.00
   526 1  415.042675 -85.91 0.00
   527 1  415.042675 -84.49 0.00
   528 1  416.272431 -83.78 0.00
   529 1  413.812919 -86.62 0.00
   530 1  412.583163 -85.91 0.00
   531 1  412.583163 -84.49 0.00
   532 1  413.812919 -83.78 0.00
   533 1  411.353407 -86.62 0.00
   534 1  410.123650 -85.91 0.00
   535 1  410.123650 -84.49 0.00
   536 1  411.353407 -83.78 0.00
   537 1  408.893894 -86.62 0.00
   538 1  407.664138 -85.91 0.00
   539 1  407.664138 -84.49 0.00
   540 1  408.893894 -83.78 0.00
   541 1  406.434382 -86.62 0.00
   542 1  405.204626 -85.91 0.00
   543 1  405.204626 -84.49 0.00
   544 1  406.434382 -83.78 0.00
   545 1  403.974870 -86.62 0.00
   546 1  402.745114 -85.91 0.00
   547 1  402.745114 -84.49 0.00
   548 1  403.974870 -83.78 0.00
   549 1  401.515358 -86.62 0.00
   550 1  400.285602 -85.91 0.00
   551 1  400.285602 -84.49 0.00
   552 1  401.515358 -83.78 0.00
   553 1  399.055846 -86.62 0.00
   554 1  397.826090 -85.91 0.00
   555 1  397.826090 -84.49 0.00
   556 1  399.055846 -83.78 0.00
   557 1  396.596334 -86.62 0.00
   558 1  395.366578 -85.91 0.00
   559 1  395.366578 -84.49 0.00
   560 1  396.596334 -83.78 0.00
   561 1  394.136822 -86.62 0.00
   562 1  392.907065 -85.91 0.00
   563 1  392.907065 -84.49 0.00
   564 1  394.136822 -83.78 0.00
   565 1  391.677309 -86.62 0.00
   566 1  390.447553 -85.91 0.00
   567 1  390.447553 -84.49 0.00
   568 1  391.677309 -83.78 0.00
   569 1  389.217797 -86.62 0.00
   570 1  387.988041 -85.91 0.00
   571 1  387.988041 -84.49 0.00
   572 1  389.217797 -83.78 0.00
   573 1  386.758285 -86.62 0.00
   574 1  385.528529 -85.91 0.00
   575 1  385.528529 -84.49 0.00
   576 1  386.758285 -83.78 0.00
   577 1  384.298773 -86.62 0.00
   578 1  383.069017 -85.91 0.00
   579 1  383.069017 -84.49 0.00
   580 1  384.298773 -83.78 0.00
   581 1  381.839261 -86.62 0.00
   582 1  380.609505 -85.91 0.00
   583 1  380.609505 -84.49 0.00
   584 1  381.839261 -83.78 0.00
   585 1  379.379749 -86.62 0.00
   586 1  378.149993 -85.91 0.00
   587 1  378.149993 -84.49 0.00
   588 1  379.379749 -83.78 0.00
   589 1  376.920236 -86.62 0.00
   590 1  375.690480 -85.91 0.00
   591 1  375.690480 -84.49 0.00
   592 1  376.920236 -83.78 0.00
   593 1  374.460724 -86.62 0.00
