# Lorenzo Manunza 14th April 2025

118244 atoms
1 atom types

-886.65413 886.65413 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

   673 1  472.841210 -86.62 0.0
   674 1  471.611454 -85.91 0.0
   675 1  471.611454 -84.49 0.0
   676 1  472.841210 -83.78 0.0
   677 1  470.381698 -86.62 0.0
   678 1  469.151942 -85.91 0.0
   679 1  469.151942 -84.49 0.0
   680 1  470.381698 -83.78 0.0
   681 1  467.922186 -86.62 0.0
   682 1  466.692430 -85.91 0.0
   683 1  466.692430 -84.49 0.0
   684 1  467.922186 -83.78 0.0
   685 1  465.462674 -86.62 0.0
   686 1  464.232918 -85.91 0.0
   687 1  464.232918 -84.49 0.0
   688 1  465.462674 -83.78 0.0
   689 1  463.003162 -86.62 0.0
   690 1  461.773406 -85.91 0.0
   691 1  461.773406 -84.49 0.0
   692 1  463.003162 -83.78 0.0
   693 1  460.543649 -86.62 0.0
   694 1  459.313893 -85.91 0.0
   695 1  459.313893 -84.49 0.0
   696 1  460.543649 -83.78 0.0
   697 1  458.084137 -86.62 0.0
   698 1  456.854381 -85.91 0.0
   699 1  456.854381 -84.49 0.0
   700 1  458.084137 -83.78 0.0
   701 1  455.624625 -86.62 0.0
   702 1  454.394869 -85.91 0.0
   703 1  454.394869 -84.49 0.0
   704 1  455.624625 -83.78 0.0
   705 1  453.165113 -86.62 0.0
   706 1  451.935357 -85.91 0.0
   707 1  451.935357 -84.49 0.0
   708 1  453.165113 -83.78 0.0
   709 1  450.705601 -86.62 0.0
   710 1  449.475845 -85.91 0.0
   711 1  449.475845 -84.49 0.0
   712 1  450.705601 -83.78 0.0
   713 1  448.246089 -86.62 0.0
   714 1  447.016333 -85.91 0.0
