# Lorenzo Manunza 14th April 2025

39524 atoms
1 atom types

-296.37121 296.37121 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5000.00000 zlo zhi

Masses

1 12.011 # C

Atoms

  567 1  -52.264633 -84.49 0.0
  568 1  -51.034877 -83.78 0.0
  569 1  -53.494389 -86.62 0.0
  570 1  -54.724145 -85.91 0.0
  571 1  -54.724145 -84.49 0.0
  572 1  -53.494389 -83.78 0.0
  573 1  -55.953901 -86.62 0.0
  574 1  -57.183657 -85.91 0.0
  575 1  -57.183657 -84.49 0.0
  576 1  -55.953901 -83.78 0.0
  577 1  -58.413413 -86.62 0.0
  578 1  -59.643170 -85.91 0.0
  579 1  -59.643170 -84.49 0.0
  580 1  -58.413413 -83.78 0.0
  581 1  -60.872926 -86.62 0.0
  582 1  -62.102682 -85.91 0.0
  583 1  -62.102682 -84.49 0.0
  584 1  -60.872926 -83.78 0.0
  585 1  -63.332438 -86.62 0.0
  586 1  -64.562194 -85.91 0.0
  587 1  -64.562194 -84.49 0.0
  588 1  -63.332438 -83.78 0.0
  589 1  -65.791950 -86.62 0.0
  590 1  -67.021706 -85.91 0.0
  591 1  -67.021706 -84.49 0.0
  592 1  -65.791950 -83.78 0.0
  593 1  -68.251462 -86.62 0.0
  594 1  -69.481218 -85.91 0.0
  595 1  -69.481218 -84.49 0.0
  596 1  -68.251462 -83.78 0.0
  597 1  -70.710974 -86.62 0.0
  598 1  -71.940730 -85.91 0.0
  599 1  -71.940730 -84.49 0.0
  600 1  -70.710974 -83.78 0.0
  601 1  -73.170486 -86.62 0.0
  602 1  -74.400242 -85.91 0.0
  603 1  -74.400242 -84.49 0.0
  604 1  -73.170486 -83.78 0.0
  605 1  -75.629999 -86.62 0.0
  606 1  -76.859755 -85.91 0.0
  607 1  -76.859755 -84.49 0.0
  608 1  -75.629999 -83.78 0.0
  609 1  -78.089511 -86.62 0.0
  610 1  -79.319267 -85.91 0.0
  611 1  -79.319267 -84.49 0.0
  612 1  -78.089511 -83.78 0.0
  613 1  -80.549023 -86.62 0.0
  614 1  -81.778779 -85.91 0.0
  615 1  -81.778779 -84.49 0.0
  616 1  -80.549023 -83.78 0.0
  617 1  -83.008535 -86.62 0.0
  618 1  -84.238291 -85.91 0.0
  619 1  -84.238291 -84.49 0.0
  620 1  -83.008535 -83.78 0.0
  621 1  -85.468047 -86.62 0.0
  622 1  -86.697803 -85.91 0.0
  623 1  -86.697803 -84.49 0.0
  624 1  -85.468047 -83.78 0.0
  625 1  -87.927559 -86.62 0.0
  626 1  -89.157315 -85.91 0.0
  627 1  -89.157315 -84.49 0.0
  628 1  -87.927559 -83.78 0.0
  629 1  -90.387071 -86.62 0.0
  630 1  -91.616827 -85.91 0.0
  631 1  -91.616827 -84.49 0.0
  632 1  -90.387071 -83.78 0.0
  633 1  -92.846584 -86.62 0.0
  634 1  -94.076340 -85.91 0.0
  635 1  -94.076340 -84.49 0.0
  636 1  -92.846584 -83.78 0.0
  637 1  -95.306096 -86.62 0.0
  638 1  -96.535852 -85.91 0.0
  639 1  -96.535852 -84.49 0.0
  640 1  -95.306096 -83.78 0.0
  641 1  -97.765608 -86.62 0.0
  642 1  -98.995364 -85.91 0.0
  643 1  -98.995364 -84.49 0.0
  644 1  -97.765608 -83.78 0.0
  645 1 -100.225120 -86.62 0.0
  646 1 -101.454876 -85.91 0.0
  647 1 -101.454876 -84.49 0.0
  648 1 -100.225120 -83.78 0.0
  649 1 -102.684632 -86.62 0.0
  650 1 -103.914388 -85.91 0.0
  651 1 -103.914388 -84.49 0.0
  652 1 -102.684632 -83.78 0.0
  653 1 -105.144144 -86.62 0.0
  654 1 -106.373900 -85.91 0.0
  655 1 -106.373900 -84.49 0.0
  656 1 -105.144144 -83.78 0.0
  657 1 -107.603656 -86.62 0.0
  658 1 -108.833412 -85.91 0.0
  659 1 -108.833412 -84.49 0.0
  660 1 -107.603656 -83.78 0.0
  661 1 -110.063169 -86.62 0.0
  662 1 -111.292925 -85.91 0.0
  663 1 -111.292925 -84.49 0.0
  664 1 -110.063169 -83.78 0.0
  665 1 -112.522681 -86.62 0.0
  666 1 -113.752437 -85.91 0.0
  667 1 -113.752437 -84.49 0.0
  668 1 -112.522681 -83.78 0.0
  669 1 -114.982193 -86.62 0.0
  670 1 -116.211949 -85.91 0.0
  671 1 -116.211949 -84.49 0.0
  672 1 -114.982193 -83.78 0.0
  673 1 -117.441705 -86.62 0.0
  674 1 -118.671461 -85.91 0.0
  675 1 -118.671461 -84.49 0.0
  676 1 -117.441705 -83.78 0.0
  677 1 -119.901217 -86.62 0.0
  678 1 -121.130973 -85.91 0.0
  679 1 -121.130973 -84.49 0.0
  680 1 -119.901217 -83.78 0.0
  681 1 -122.360729 -86.62 0.0
  682 1 -123.590485 -85.91 0.0
  683 1 -123.590485 -84.49 0.0
  684 1 -122.360729 -83.78 0.0
  685 1 -124.820241 -86.62 0.0
  686 1 -126.049998 -85.91 0.0
  687 1 -126.049998 -84.49 0.0
  688 1 -124.820241 -83.78 0.0
  689 1 -127.279754 -86.62 0.0
  690 1 -128.509510 -85.91 0.0
  691 1 -128.509510 -84.49 0.0
  692 1 -127.279754 -83.78 0.0
  693 1 -129.739266 -86.62 0.0
  694 1 -130.969022 -85.91 0.0
  695 1 -130.969022 -84.49 0.0
  696 1 -129.739266 -83.78 0.0
  697 1 -132.198778 -86.62 0.0
  698 1 -133.428534 -85.91 0.0
  699 1 -133.428534 -84.49 0.0
  700 1 -132.198778 -83.78 0.0
  701 1 -134.658290 -86.62 0.0
  702 1 -135.888046 -85.91 0.0
