# Lorenzo Manunza 14th April 2025

157768 atoms
1 atom types

-591.51267 591.51267 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   307 1  402.745114 -84.49 0.00
   308 1  403.974870 -83.78 0.00
   309 1  401.515358 -86.62 0.00
   310 1  400.285602 -85.91 0.00
   311 1  400.285602 -84.49 0.00
   312 1  401.515358 -83.78 0.00
   313 1  399.055846 -86.62 0.00
   314 1  397.826090 -85.91 0.00
   315 1  397.826090 -84.49 0.00
   316 1  399.055846 -83.78 0.00
   317 1  396.596334 -86.62 0.00
   318 1  395.366578 -85.91 0.00
   319 1  395.366578 -84.49 0.00
   320 1  396.596334 -83.78 0.00
   321 1  394.136822 -86.62 0.00
   322 1  392.907065 -85.91 0.00
   323 1  392.907065 -84.49 0.00
   324 1  394.136822 -83.78 0.00
   325 1  391.677309 -86.62 0.00
   326 1  390.447553 -85.91 0.00
   327 1  390.447553 -84.49 0.00
   328 1  391.677309 -83.78 0.00
   329 1  389.217797 -86.62 0.00
   330 1  387.988041 -85.91 0.00
   331 1  387.988041 -84.49 0.00
   332 1  389.217797 -83.78 0.00
   333 1  386.758285 -86.62 0.00
   334 1  385.528529 -85.91 0.00
   335 1  385.528529 -84.49 0.00
   336 1  386.758285 -83.78 0.00
   337 1  384.298773 -86.62 0.00
   338 1  383.069017 -85.91 0.00
   339 1  383.069017 -84.49 0.00
   340 1  384.298773 -83.78 0.00
   341 1  381.839261 -86.62 0.00
   342 1  380.609505 -85.91 0.00
   343 1  380.609505 -84.49 0.00
   344 1  381.839261 -83.78 0.00
   345 1  379.379749 -86.62 0.00
   346 1  378.149993 -85.91 0.00
   347 1  378.149993 -84.49 0.00
   348 1  379.379749 -83.78 0.00
   349 1  376.920236 -86.62 0.00
   350 1  375.690480 -85.91 0.00
   351 1  375.690480 -84.49 0.00
   352 1  376.920236 -83.78 0.00
   353 1  374.460724 -86.62 0.00
   354 1  373.230968 -85.91 0.00
   355 1  373.230968 -84.49 0.00
   356 1  374.460724 -83.78 0.00
   357 1  372.001212 -86.62 0.00
   358 1  370.771456 -85.91 0.00
   359 1  370.771456 -84.49 0.00
   360 1  372.001212 -83.78 0.00
   361 1  369.541700 -86.62 0.00
   362 1  368.311944 -85.91 0.00
   363 1  368.311944 -84.49 0.00
   364 1  369.541700 -83.78 0.00
   365 1  367.082188 -86.62 0.00
   366 1  365.852432 -85.91 0.00
   367 1  365.852432 -84.49 0.00
   368 1  367.082188 -83.78 0.00
   369 1  364.622676 -86.62 0.00
   370 1  363.392920 -85.91 0.00
   371 1  363.392920 -84.49 0.00
   372 1  364.622676 -83.78 0.00
   373 1  362.163164 -86.62 0.00
   374 1  360.933408 -85.91 0.00
   375 1  360.933408 -84.49 0.00
   376 1  362.163164 -83.78 0.00
   377 1  359.703651 -86.62 0.00
   378 1  358.473895 -85.91 0.00
   379 1  358.473895 -84.49 0.00
   380 1  359.703651 -83.78 0.00
   381 1  357.244139 -86.62 0.00
   382 1  356.014383 -85.91 0.00
   383 1  356.014383 -84.49 0.00
   384 1  357.244139 -83.78 0.00
   385 1  354.784627 -86.62 0.00
   386 1  353.554871 -85.91 0.00
   387 1  353.554871 -84.49 0.00
   388 1  354.784627 -83.78 0.00
   389 1  352.325115 -86.62 0.00
   390 1  351.095359 -85.91 0.00
   391 1  351.095359 -84.49 0.00
   392 1  352.325115 -83.78 0.00
   393 1  349.865603 -86.62 0.00
   394 1  348.635847 -85.91 0.00
   395 1  348.635847 -84.49 0.00
   396 1  349.865603 -83.78 0.00
   397 1  347.406091 -86.62 0.00
   398 1  346.176335 -85.91 0.00
   399 1  346.176335 -84.49 0.00
   400 1  347.406091 -83.78 0.00
   401 1  344.946579 -86.62 0.00
   402 1  343.716823 -85.91 0.00
   403 1  343.716823 -84.49 0.00
   404 1  344.946579 -83.78 0.00
   405 1  342.487066 -86.62 0.00
   406 1  341.257310 -85.91 0.00
   407 1  341.257310 -84.49 0.00
   408 1  342.487066 -83.78 0.00
   409 1  340.027554 -86.62 0.00
   410 1  338.797798 -85.91 0.00
   411 1  338.797798 -84.49 0.00
   412 1  340.027554 -83.78 0.00
   413 1  337.568042 -86.62 0.00
   414 1  336.338286 -85.91 0.00
   415 1  336.338286 -84.49 0.00
   416 1  337.568042 -83.78 0.00
   417 1  335.108530 -86.62 0.00
   418 1  333.878774 -85.91 0.00
   419 1  333.878774 -84.49 0.00
   420 1  335.108530 -83.78 0.00
   421 1  332.649018 -86.62 0.00
   422 1  331.419262 -85.91 0.00
   423 1  331.419262 -84.49 0.00
   424 1  332.649018 -83.78 0.00
   425 1  330.189506 -86.62 0.00
   426 1  328.959750 -85.91 0.00
   427 1  328.959750 -84.49 0.00
   428 1  330.189506 -83.78 0.00
   429 1  327.729994 -86.62 0.00
   430 1  326.500237 -85.91 0.00
   431 1  326.500237 -84.49 0.00
   432 1  327.729994 -83.78 0.00
